,Sermons,Dates,Description,Links
709,What Is It About The Blood of Jesus That Overcomes The Devil ,17 October 2003,"The Bible tells us that we overcome the devil by the blood of the Lamb and by the Word of our testimony. What&#039;s so special about the blood of Jesus that the devil is afraid of and which overcomes him when we apply it? Listen to this anointed message to learn how the devil tries to enforce evil in our life, and how we can overcome his accusations with a revelation of how the blood of Christ has cleansed and forgiven us of all sin. You will learn the secret to being free from condemnation and discover how to prevent the devil from bringing sickness and poverty into your life.
",https://www.josephprince.com/sermons/what-is-it-about-the-blood-of-jesus-that-overcomes-the-devil?sku=20031017M3
710,"Speak In Tongues And Stir Up The Rivers Of Power, Love And Sound Mind ",12 October 2003,"Do you realise that God has given you a powerful weapon in your mouth? The more we speak in tongues, the more the three rivers of power, love and wisdom will flow in our lives. Find out from this message all the benefits you get to enjoy when you flow with God.
",https://www.josephprince.com/sermons/speak-in-tongues-and-stir-up-the-rivers-of-power-love-and-sound-mind?sku=20031012CJ
711,Prayer In The Spirit - Our Present Day Golden Altar Of Incense ,9 October 2003,"Do you know that you offer sweet incense to God when you pray in tongues? It is pleasing to God as it reminds Him of Jesus&#039; perfections. Come discover how praying in tongues can release the gifts of the Holy Spirit in our lives.
",https://www.josephprince.com/sermons/prayer-in-the-spirit-our-present-day-golden-altar-of-incense?sku=20031009M3
712,Accessing The Wisdom Of God By Praying In The Spirit ,5 October 2003,"The early church received the promise - the Holy Spirit and they walked in tremendous power, signs and wonders because they had supernatural speech. Come discover the power God has vested in you through the Holy Spirit and activate the gifts of God by praying in tongues.
",https://www.josephprince.com/sermons/accessing-the-wisdom-of-god-by-praying-in-the-spirit?sku=20031005M3
713,The Ram's Horn Of Praying In The Spirit ,3 October 2003,"Discover a new dimension in your prayer life as you pray in tongues. It is the perfect prayer in God&#039;s eyes. Receive revelations from the Word of God about the ram&#039;s horn and experience peace and refreshing for your life.
",https://www.josephprince.com/sermons/the-rams-horn-of-praying-in-the-spirit?sku=20031003M3
714,The Value of Praying In Tongues #2 ,28 September 2003,"The early church moved in great power because they know the importance of praying in tongues, individually and as a church. It is time for the church today to revive that gift and experience supernatural breakthroughs. Listen to the message and learn how you can receive wisdom from God and walk into victory.
",https://www.josephprince.com/sermons/the-value-of-praying-in-tongues-2?sku=20030928M3
715,The Prophetic Teaching Of What Is To Come ,25 September 2003,"The passing on of Brother Hagin, the father of the modern Wod of Faith movement, marks the next move in God&#039;s timetable for the church. What is this move and where will it primarily occur? Also, find out the benefits of praying in tongues and why God wants this church to exercise the gift more.
",https://www.josephprince.com/sermons/the-prophetic-teaching-of-what-is-to-come?sku=20030925M3
716,The Value Of Praying In Tongues #1 ,21 September 2003,"Do you know that God doesn&#039;t want you to face your problem alone? The Holy Spirit jointly helps us when we pray in tongues and we take hold of the problem together. Discover in this message the secret to your victory when you pray in tongues.
",https://www.josephprince.com/sermons/the-value-of-praying-in-tongues-1?sku=20030921M3
717,Spiritual Warfare Myths and Truths #3 - Praying In The Spirit - The Ultimate Weapon Of God For Us ,18 September 2003,"Have you heard of people saying it is not scriptural to speak in tongues? Why would something which is a gift of the Holy Spirit be spoken against so vehemently? Know that it&#039;s the work of the enemy because speaking in tongues is God&#039;s ultimate weapon for the believer! Not convinced? Then listen to this last instalment of a three-part series on spiritual warfare where Joseph Prince presents the many wonderful and powerful benefits of praying in tongues.
",https://www.josephprince.com/sermons/spiritual-warfare-myths-and-truths-3-praying-in-the-spirit-the-ultimate-weapon-of-god-for-us?sku=20030918M3
718,Head Knowledge vs Heart Knowledge ,5 September 2003,"Has anyone ever used God&#039;s Word to put you down? Well, the religious Pharisees during Jesus&#039; time, who knew the scriptures well, did that to the people all the time. So it&#039;s one thing to know your Bible well, but another thing to have a heart of love for people and for Jesus, the one who wrote the Bible. In this message, Joseph Prince uncovers the hearts of certain characters in the Bible by examining what they said and did. So which are you - a modern-day Pharisee or someone who really loves Jesus and His people? Why don&#039;t you listen and find out!&amp;nbsp;&amp;nbsp;&amp;nbsp;
",https://www.josephprince.com/sermons/head-knowledge-vs-heart-knowledge?sku=20030905M3
719,"Never Alone, Always Cared For ",31 August 2003,"God, our creator, didn&#039;t design us to cope with cares and worries. He wants you to live care-free lives because He loves you and wants to take care of you. Don&#039;t hold on to your cares but give them all to Jesus, and know that you never walk alone.
",https://www.josephprince.com/sermons/never-alone-always-cared-for?sku=20030831M3
720,Knowing Jesus Through Two Miracles Of Healing ,28 August 2003,"The Jewish people knew the signs that marked the Messiah when He walked on this earth, but they did not believe Jesus even when He performed these miracles right before their eyes! Come find out what are the two miracles which only the Messiah could perform. And know that faith is effortless when you see Jesus and believe Him.
",https://www.josephprince.com/sermons/knowing-jesus-through-two-miracles-of-healing?sku=20030828M3
721,God Sees The Church Covered With Gold And Established In Silver ,24 August 2003,"How does God see you? And how to you see your fellow Christians, be they from the same church and denomination, or not? Let Joseph Prince open up the Bible and show you how God sees you and every other member of His church from the Old Testament details of Moses&#039; tabernacle. Once you learn to see yourself and your Christian brethren in the same way, you will not only grow in faith, but also be more compassionate, gracious and believe it or not, healthy!&amp;nbsp;&amp;nbsp;&amp;nbsp;
",https://www.josephprince.com/sermons/god-sees-the-church-covered-with-gold-and-established-in-silver?sku=20030824M3
722,When Jesus Wrote On The Ground ,22 August 2003,"Have you ever wondered what Jesus wrote on the ground in the Bible story of the woman caught in adultery? Why did He choose to stoop down and write on the stone floor with His finger when the Pharisees asked Him such a weighty question of whether to stone the woman to death? Let Joseph Prince explain why this is one of the most touching examples of how God&#039;s justice and mercy met and were reconciled in the person of Jesus. You will go away awed and overwhelmed by this message about God&#039;s love, sacrifice and forgiveness.
",https://www.josephprince.com/sermons/when-jesus-wrote-on-the-ground?sku=20030822M3
